,Ticket,Problem_Abstract,Ticket_Type,Team,Ticket_Opened_Date,Ticket_Closed
1468,306722936,To provide RO access to Wolters Kluwer LCM ,User,GTAC - Other,1/13/2022 7:37,2/3/2022 9:34
1470,306725265,ISE WK | Renew ISE Certs,User,CISCO ISE - Network Device Update/Add/Delete,1/13/2022 9:24,3/4/2022 14:17
1471,306726141,not able to close the ticket 000000306582259,User,Unified Desktop (UD),1/13/2022 10:04,1/13/2022 15:10
1472,306726994,Disable traps for F5 disk partition for less than 40% free space,User,SMARTS/GFP_CPE,1/13/2022 10:45,2/8/2022 10:07
1473,306730929,Users Can't access the OBM Application on Server: NCDURH4CDIOBA01 (xxxxxxx) ncdurh4cdioba01.itservices.sbc.com  ,User,CDI OBM,1/13/2022 14:11,1/14/2022 9:51
1474,306732887,I get the goat on WFA tickets,User,Unified Desktop (UD),1/13/2022 15:26,1/20/2022 23:49
1475,306732984,Unable to  open or work on any tickets ,User,Unified Desktop (UD),1/13/2022 15:31,1/19/2022 20:20
1476,306734415,GPM Front Door - Customer Profile Submission ,User,Front Door,1/13/2022 16:17,1/13/2022 17:18
1477,306734582,the tool doesn't download the MDS id up to date,User,Task Manager,1/13/2022 16:22,1/14/2022 8:59
1478,306735109,Need device BRHMALDCSP14SMMX4.DC.SEST.ATT.COM suppressed from ticketing ,User,SMARTS/GFP_CPE,1/13/2022 16:38,1/25/2022 15:51
1479,306736283,ISE AES | Please implement this change on 1/14 at 8am EST. the MDS is attached. thank you ,User,CISCO ISE - Network Device Update/Add/Delete,1/13/2022 17:11,1/14/2022 21:22
1481,306737868,"No data provided on WFA tickets, get the goat error message.",User,Unified Desktop (UD),1/13/2022 18:02,1/24/2022 10:03
1482,306739213,IE#306701291 has been set to 'CLEARED' but corresponding UD#306701291 remain QUEUED,User,Unified Desktop (UD),1/13/2022 18:47,1/20/2022 0:27
1483,306739385,Need OBM Agent to be installed on Vizgems servers ,User,CDI OBM,1/13/2022 18:53,1/19/2022 20:43
1484,306739815,Attn: Mohan - FFLOW Org 256 BOE - PBI Concern,User,Global Delivery Data & Analytics,1/13/2022 19:03,1/18/2022 14:08
1485,306740648,Need to suppress the alert for Asset USIBJCPARTX06WAP57M.  ,User,SMARTS/GFP_CPE,1/13/2022 19:29,1/19/2022 14:01
1486,306742217,Prep HPI Pollers rlpv13229 & rlpv13206 to handle moving Palo Alto firewalls from CECs,User,SMARTS/GFP_CPE,1/13/2022 20:23,4/1/2022 14:06
1487,306742370,ISE Arcadis | Customer is unable to connect to IQOL_IOT network. Need to verify if its being broadcasted to the office ATL-GA03Related to ticket : 232585,User,Cisco ISE,1/13/2022 20:29,4/5/2022 22:06
1488,306743554,ISE Fluor | FLRSF99-ASA1 was deccomed under SR7934053 need to be sure it's removed from ISE,User,CISCO ISE - Network Device Update/Add/Delete,1/13/2022 21:10,1/20/2022 7:54
1489,306743688,Getting GOAT when searching for tickets ,User,Unified Desktop (UD),1/13/2022 21:18,1/18/2022 23:35
1490,306758746,"Hi Team, customer is concerned that device FRDANDRUEFR01PVCE01_SHA is not being monitored via AT&T monitoring system. Could you please confirm, if this is the case? ",User,GESS SDWAN Support - Other,1/14/2022 11:32,1/14/2022 12:53
1491,306760273,"Device entry MVE03304WC01 - xxxxxxx is not there in Netbrain tool, Need to add the same for WPP customer",User,NETBRAIN - Other,1/14/2022 13:32,1/18/2022 20:52
1492,306762589,Requesting alarm suppression for State Farm Insurance starting on Friday (12/10) at 7pm CT until 6am CT on Monday (12/13).,User,SMARTS/GFP_CPE,1/14/2022 15:32,1/17/2022 13:09
1494,306763941,Can't open Unified Desktop in Firefox,User,Unified Desktop (UD),1/14/2022 16:21,1/14/2022 18:50
1495,306765851,Need to edit device hostname entry in Voyence tool for WPP Customer,User,INCM (Voyence) - Other,1/14/2022 17:31,1/20/2022 10:34
1497,306766583,Intermittent issue when opening tickets: e.ticket_data is undefined- There was an unspecified error  ,User,Unified Desktop (UD),1/14/2022 17:55,1/14/2022 22:37
1498,306766858,Two VitalNet servers/pollers are down : vn11852.acss.att.com and vn11854.acss.att.com ,User,VitalNet Problems or Errors,1/14/2022 18:03,1/14/2022 19:27
1499,306769331,MechID Sponsor no longer with company and MechID password has expired ,User,"GTAC - Account issues, password change",1/14/2022 19:38,1/14/2022 21:30
1500,306769621,after device refresh there was change of hostname. There is need to update. ,User,VitalNet Problems or Errors,1/14/2022 19:50,1/14/2022 23:08
1501,306775875,Poller rlpv12972 is not given me access  ,User,"GTAC - Account issues, password change",1/15/2022 0:06,1/18/2022 15:48
1502,306790364,disable rf384m GTAC account ,User,GTAC,1/15/2022 17:41,1/15/2022 20:23
1503,306801106,Poller host file update.,User,SMARTS/GFP_CPE,1/16/2022 1:17,1/19/2022 14:05
1505,306809631,poller sndnec01 down ,User,ACAT,1/16/2022 10:30,1/16/2022 11:02
1506,306823133,UD Auto detect ticket was closed duplicate. ,User,Unified Desktop (UD),1/17/2022 4:49,1/31/2022 9:27
1507,306824880,Need to verify Monitoring Capability of DMS Pollers,User,iGEMS CoE,1/17/2022 7:27,1/18/2022 7:27
1508,306826232,IGA EMEA ISE Device Add,User,CISCO ISE - Network Device Update/Add/Delete,1/17/2022 9:11,1/18/2022 8:18
1509,306826284,IGA EMEA ISE Device Add,User,CISCO ISE - Network Device Update/Add/Delete,1/17/2022 9:13,1/18/2022 8:18
1510,306826498,IGA EMEA ISE Device Add,User,CISCO ISE - Network Device Update/Add/Delete,1/17/2022 9:29,1/18/2022 8:16
1511,306826623,IGA EMEA ISE Device Add,User,CISCO ISE - Network Device Update/Add/Delete,1/17/2022 9:40,1/18/2022 8:16
1512,306827521,"Voyence US (xxxxxxx) While trying to change config on 96 devices, 96 fail",User,INCM (Voyence) - Other,1/17/2022 11:01,4/5/2022 12:40
1514,306828113,ISAE3402 EFS Audit -  - GTAC follow up audit reports  ,User,GTAC - Audit or GTAC report data,1/17/2022 11:45,1/17/2022 12:17
1515,306829607,Devices are not removed from Voyence tool ,User,INCM (Voyence),1/17/2022 13:26,1/17/2022 14:14
1516,306830012,Please investigate why no alerts are created for USOUTORXJSC0102UJZZ01,User,SMARTS/GFP_CPE,1/17/2022 13:46,2/4/2022 10:51
1517,306831725,Voyence US (xxxxxxx) not able to run Health Checking report on xxxxxxx/twbportal/,User,INCM (Voyence) - Other,1/17/2022 15:10,6/16/2022 13:22
1519,306834224,Change the owner of the HARTFORD domain.,User,GTAC,1/17/2022 17:30,1/17/2022 20:47
1523,306834727,ISE WK | Remove APs from ISE,User,CISCO ISE - Network Device Update/Add/Delete,1/17/2022 18:05,2/9/2022 4:34
1524,306836554,AOTS tkt cannot be closed ,User,Unified Desktop (UD),1/17/2022 19:48,1/17/2022 20:48
1525,306838736,Create nologins allowed commands for mechid m77446 on DMS system rlpv13230 ,User,SMARTS/GFP_CPE,1/17/2022 22:23,1/17/2022 23:42
1526,306838884,Create nologins allowed commands for mechid m77446 on DMS system rlpv12645 ,User,SMARTS/GFP_CPE,1/17/2022 22:36,1/18/2022 1:23
1528,306843495,I'm unable to access the Switch - DEONSEINSTR01 (xxxxxxx). Pls need your support to check if any access issues. ,User,"GTAC - Account issues, password change",1/18/2022 5:37,1/18/2022 8:07
1529,306845695,Old ticket raised for this issue 234525  I am unable to view device details in action V3 website it is giving me an error saying : Notice: Undefined index: attuid. I have all the required access to open dxc cambell devices. i have tried cleaning cookies,User,ACTION Web,1/18/2022 8:16,1/18/2022 10:51
1530,306847090,Create nologins allowed commands for mechid m77446 on DMS system rlpv12655 ,User,SMARTS/GFP_CPE,1/18/2022 9:36,1/18/2022 9:57
1531,306847115,Create nologins allowed commands for mechid m77446 on DMS system rlpv12660 ,User,SMARTS/GFP_CPE,1/18/2022 9:41,1/18/2022 10:02
1532,306847898,GTAC enable password change on Domain IBM Hertz ,User,Global Password Changes,1/18/2022 10:40,1/27/2022 21:27
1533,306847840,"Work queues not appearing for the ticket 306538294 with Kyndryl FA ""CIMGDSVCS"", we need same work queues as same as to ticket 306844573 FA ""NSDMNGSVCS"" ",User,Unified Desktop (UD),1/18/2022 10:40,1/24/2022 11:06
1534,306848396,"Need to reset password. Getting ""Warning Fatal err-Call to undefined method.  ""  Cannot successfully change password.   ",User,"GTAC - Account issues, password change",1/18/2022 11:27,1/18/2022 14:59
1535,306849465,ISE Amgen | nonauth sessions after site isolation,User,Cisco ISE,1/18/2022 12:49,2/1/2022 11:11
1538,306854231,please reboot Vitalnet server: RLPV10633.gcsc.att.com ,User,VitalNet Problems or Errors,1/18/2022 16:18,1/18/2022 16:45
1539,306854740,Need new GTAC domain created,User,GTAC,1/18/2022 16:31,2/22/2022 20:27
1541,306864971,We are not able to login the device via ACAT. getting error with mismatch of algorithm with device & ACAT . could you please help to fix the same ,User,ACAT,1/18/2022 18:46,1/18/2022 19:51
1542,306865408,"Tool won't discover devices, I receive Error (found credentials but could not determine driver)  ",User,INCM (Voyence) - Other,1/18/2022 18:58,1/26/2022 22:48
1543,306865478,the poller for NYCTA changed from mesnm858 to rlpv12658 - logs missing ,User,iGEMS CoE,1/18/2022 19:00,1/25/2022 18:02
1544,306868548,"GTAC syslog screen repository screen shot requirement on below domain.Customer	                                DomainIBM GTM Shared Clients	IBM GTM Shared",User,GTAC - Audit or GTAC report data,1/18/2022 20:28,1/27/2022 21:58
1545,306869741,Create nologins allowed commands for mechid m77446 on DMS system rlpv12658 ,User,SMARTS/GFP_CPE,1/18/2022 21:07,1/18/2022 21:45
1546,306869718,Unable to log into rlpv13226 ,User,SMARTS/GFP_CPE,1/18/2022 21:07,1/18/2022 22:34
1547,306870088,"Please restore my account rx2365, it was terminated in error on Friday evening. By SUITS) ",User,GTAC,1/18/2022 21:17,1/18/2022 22:22
1548,306870255,Please provide me write access User ID : ax333c,User,Unified Desktop (UD),1/18/2022 21:25,1/27/2022 2:45
1549,306870973,Create nologins allowed commands for mechid m77446 on DMS system rlpv12969 ,User,SMARTS/GFP_CPE,1/18/2022 21:53,1/18/2022 22:57
1550,306871904,Create nologins allowed commands for mechid m77446 on DMS system rlpv12609 ,User,SMARTS/GFP_CPE,1/18/2022 22:25,1/18/2022 22:58
1551,306871964,Auto detected ticket was not open for MXSNCPATI0004R and MXSNCPECA0004R,User,SMARTS/GFP_CPE,1/18/2022 22:30,2/7/2022 9:34
1554,306882857,Citizen Ticket #306791523 reflecting American Airlines Account details.Citizen Ticket #304649816 reflecting ARGOS Account details.,User,Unified Desktop (UD),1/19/2022 9:29,3/30/2022 10:44
1555,306883163,Switchport Capacity Report,User,ACTION Web,1/19/2022 9:46,1/19/2022 10:04
1556,306884419,"GTAC password change - not working .  confirm password option blurred out hence password not able to change,  profile status locked ",User,"GTAC - Account issues, password change",1/19/2022 11:04,1/19/2022 11:17
1557,306885153,Cannot reset my mechID password on GTAC Portal ,User,"GTAC - Account issues, password change",1/19/2022 11:46,1/19/2022 12:06
1559,306890573,An Auto Detect ticket was not generate on 16/2022 when the Site was down ,User,SMARTS/GFP_CPE,1/19/2022 15:32,2/9/2022 15:00
1560,306893822,Getting error whenever i try to change password. Account showing status active.  ,User,"GTAC - Account issues, password change",1/19/2022 16:53,1/19/2022 23:15
1561,306894257,eCEP 453121 - Remove devices from Voyance,User,INCM (Voyence),1/19/2022 17:02,4/12/2022 13:30
1562,306894390,Pls assign Alex - We would need to make visible 4 new columns added yesterday into gdui v_ngnsd_orders view by the app owner.,User,Global Delivery Data & Analytics,1/19/2022 17:05,1/19/2022 17:50
1563,306895832,eCEP 447480 - Remove devices from Voyence ,User,INCM (Voyence),1/19/2022 17:38,1/27/2022 21:19
1564,306896152,Server Validation Response: A duplicate was found in the database. Please validate your input before submitting.<br> ,User,GTAC - Other,1/19/2022 17:45,1/19/2022 19:12
1566,306896884,"After I sign on to V-Edge it appears that I am in, but then it switches back to logon and continues to spin. Previous ticket 235031 ",User,GESS SDWAN Support,1/19/2022 18:01,1/26/2022 14:06
1567,306898349,Issues in opening WFA tickets in UD for quite some time . Its taking longer than expected or sometimes WFA tickets does not open up at all.,User,Unified Desktop (UD),1/19/2022 18:33,1/19/2022 18:41
1568,306898544,Cannot find active ECI on node manager rlpv11007,User,iGEMS CoE,1/19/2022 18:37,1/21/2022 21:44
1570,306907468,SLOW either non responsive and or times out when trying to open WFA tickets in UD.....this is broke.   example EN018160 the OOR processor ,User,Unified Desktop (UD),1/19/2022 21:48,1/24/2022 12:59
1571,306912447,Unable to login in using the Global login. I was able to in the past. ,User,ACAT,1/19/2022 23:02,1/22/2022 2:41
1572,306912844,Create nologins allowed commands for mechid m77446 on DMS system rlpv13053 ,User,SMARTS/GFP_CPE,1/19/2022 23:20,1/20/2022 0:05
1573,306913190,"My GTAC access isn't working for State of Tennessee (domain STTN-PE). It doesn't accept my token, but it tested good after a resync on the GTAC page, and it works elsewhere.",User,"GTAC - Account issues, password change",1/19/2022 23:35,3/4/2022 9:27
1574,306920604,Unable to access pollers servers . Not authenticating using GTAC PIN ,User,"GTAC - Account issues, password change",1/20/2022 5:14,1/21/2022 6:12
1575,306920812,"unable to change the GTAC password, confirm new password is not getting highlighted ",User,"GTAC - Account issues, password change",1/20/2022 5:26,1/20/2022 8:36
1576,306924602,Need alarm raised in UAT on asset USSAFAORLFL0208UJZZ01  Reported Service Line =uCPE-VMS ,User,SMARTS/GFP_CPE,1/20/2022 8:24,1/24/2022 9:20
1577,306929733,ISE Amgen | Update Amgen license ,User,Cisco ISE - Other,1/20/2022 11:43,2/1/2022 15:06
1578,306931087,ISE IBM IGA | Please create and add the below Cisco WLC to the ISE Servers as mentioned below.,User,CISCO ISE - Network Device Update/Add/Delete,1/20/2022 12:57,1/27/2022 2:37
1579,306931185,ISE IBM IGA | Please create and add the below Cisco WLC to the ISE Servers as mentioned below,User,CISCO ISE - Network Device Update/Add/Delete,1/20/2022 12:59,1/27/2022 2:37
1580,306932031,Customer/Sponsered ID Revalidation Query ,User,GTAC - Audit or GTAC report data,1/20/2022 13:46,1/20/2022 15:04
1581,306932870,"Application seems to be running slow, took a long time to get logged in.  jd5847 unable to log in.",User,Unified Desktop (UD),1/20/2022 14:29,2/1/2022 12:46
1582,306932871,ISE Altria | MacBook Pro Enrollment issues after  ISE Upgrade to Patch 10,User,Cisco ISE,1/20/2022 14:29,6/2/2022 17:12
1583,306932873,"UD not launching, VERY slow launching",User,Unified Desktop (UD),1/20/2022 14:30,1/20/2022 18:37
1584,306933570,Cannot access Unified Desktop from vpn,User,Unified Desktop (UD),1/20/2022 15:01,1/20/2022 17:33
1585,306934058,request to re-assign approver,User,"GTAC - Account issues, password change",1/20/2022 15:16,2/9/2022 20:28
1586,306934312,"Unable to access UD. when it did open, it's extremely slow or errors out when ticket search is attempted",User,Unified Desktop (UD),1/20/2022 15:23,1/20/2022 18:42
1587,306934388,UD not loading -MASTER TICKET,User,Unified Desktop (UD),1/20/2022 15:30,1/20/2022 19:49
1588,306934993,"ss3665306934993, affecting",User,ACTION Web,1/20/2022 15:49,1/27/2022 15:31
1589,306937286,ATTLAS found vndh11066.acss.att.com in the VNAGGRTABLE for master vndh11065.acss.att.com,User,VitalNet Problems or Errors,1/20/2022 16:59,2/24/2022 0:20
1590,306938444,ISE Amgen | usto38dc-ise1-app.am.corp.amgen.comusto38dc-ise2-app.am.corp.amgen.comAMGEN USTO LOCATION IS EXPERIENCING A SITE WIDE INDIGO/WIRELESS AUTHENTICATION ISSUE.CONTROLLER AND WAPS ARE CLEAR,User,Cisco ISE,1/20/2022 17:29,6/14/2022 17:50
1591,306938445,ISE WK | Create ISE License Report,User,Cisco ISE,1/20/2022 17:29,1/24/2022 20:46
1592,306943830,former employee that came back and needs GTAC access restored,User,"GTAC - Account issues, password change",1/20/2022 19:44,1/20/2022 21:13
1593,306944832,update IP of FW BSO,User,IBM BSO RADIUS,1/20/2022 20:13,1/24/2022 13:11
1594,306946281,ISE WK | Revoke Access to ISE by Wolters Kluwer Employee,User,Cisco ISE,1/20/2022 21:01,2/1/2022 22:05
1595,306946847,Domain Membership access to  MSS_CDI_OBM   ,User,GTAC - Other,1/20/2022 21:25,1/21/2022 20:38
1596,306949158,Denied acces to CDI OBM ,User,CDI OBM,1/20/2022 22:52,1/21/2022 21:39
1597,306949388,"New domain creation under ""IBM Internal Accounts"" customer",User,GTAC,1/20/2022 22:59,7/12/2022 9:04
1598,306952045,MNS authorization failing ,User,GTAC - Other,1/21/2022 0:40,1/21/2022 1:41
1599,306960024,unable to download report,User,VitalNet Problems or Errors,1/21/2022 8:37,2/21/2022 12:02
1600,306964152,Unable to get last resort password for Shared NMI SDWAN vManage from xxxxxxx/#!/plookup ,User,"GTAC - Account issues, password change",1/21/2022 12:34,1/21/2022 12:46
1601,306966493,Separate out EVA data by the Business Rules,User,Service Assurance Data & Analytics,1/21/2022 14:45,4/8/2022 15:10
1604,306966826,"Hi, Please reset GTAC password for below customer user and send new credentials to him.  User id - roco_outo Name  Robert Cox Contact Number - +44 (0)7900827886 Email address - xxxxxxx MSS domain - MSS_GSG_OOEEE  Thank you ",User,"GTAC - Account issues, password change",1/21/2022 14:58,1/21/2022 20:25
1605,306968304,Create NetBrain Domain Group for BOI_Skybox,User,GTAC - Other,1/21/2022 15:52,2/8/2022 22:55
1606,306969396,Requesting alarm suppression for State Farm Insurance starting on Friday (01/21) at 7pm CT until 6am CT on Monday (01/24).,User,SMARTS/GFP_CPE,1/21/2022 16:26,1/24/2022 14:43
1607,306969900,Table is not refreshing,User,Dev to check refresh of the table.,1/21/2022 16:47,1/28/2022 21:40
1608,306970187,Create NetBrain Domain Group in MSS_Amtrak_Radius,User,GTAC,1/21/2022 16:58,2/8/2022 22:53
1609,306970237,Create NetBrain Domain Group in MSS_Amtrak,User,GTAC,1/21/2022 16:59,2/8/2022 22:50
1610,306970477,Need GTAC logs of 90 days for Customer name : IBM Japan SNI and ONI. ,User,GTAC - Logs and GTLV Viewer,1/21/2022 17:06,1/28/2022 19:12
1611,306971566,Ameriprise GTAC - unable to login into Routers and Loadbalancers,User,"GTAC - Account issues, password change",1/21/2022 17:43,1/21/2022 23:22
1612,306971910,Error - Authorization request DENIED. You are NOT authorized to execute this command ,User,GTAC - Other,1/21/2022 18:01,1/25/2022 18:40
1613,306972637,MNS authorization failing,User,GTAC - Other,1/21/2022 18:17,1/25/2022 16:03
1614,306976808,"Unable to request access for SDWAN, current status ""terminated"" ",User,"GTAC - Account issues, password change",1/21/2022 20:54,1/21/2022 21:39
1615,306976954,Please reverse ownership transfer of m15762 back to gk301c,User,"GTAC - Account issues, password change",1/21/2022 20:58,1/21/2022 21:13
1617,306978938,file system(s) util is above 80%,User,SMARTS/GFP_CPE,1/21/2022 22:24,1/27/2022 21:17
1618,306979134,TACACS access to some customer accounts not working - verified broken for Amtrak and USDA ,User,"GTAC - Account issues, password change",1/21/2022 22:35,1/22/2022 1:01
1619,306980061,Cannot log in via gtac ,User,"GTAC - Account issues, password change",1/21/2022 23:18,1/21/2022 23:40
1620,306980595,unable to authenticate to Infoblox grids via the TACACs servers xxxxxxx and xxxxxxx ,User,GTAC - Other,1/21/2022 23:46,1/22/2022 2:30
1621,306983951,TACACS is not working for the customer Mastercard ,User,GTAC - Other,1/22/2022 3:12,1/22/2022 3:35
1622,306987697,"ISE AES | Need to verify From ISE the Users Authentication and profile are authenticated , VPN users are not able to connect",User,Cisco ISE,1/22/2022 7:43,1/26/2022 9:07
1623,306993210,We are not getting incident alerts in LCM tracker. ,User,LCM Tracker,1/22/2022 14:31,2/10/2022 9:32
1624,307001895,Not able to change password on GTAC as account is locked. ,User,"GTAC - Account issues, password change",1/23/2022 0:23,1/23/2022 1:01
1625,307018995,New York Life Insurance bulk SNMP agent is unresponsive alerts ,User,SMARTS/GFP_CPE,1/23/2022 15:12,2/1/2022 9:33
1626,307022603,"TACACS NOT WORKING FOR CISCO BVOIP ROUTERS, WORKING FOR EGEMARC DEVICES ",User,ADDTAC - Problem Management (ADDTAC Problem) ,1/23/2022 21:14,1/23/2022 21:35
1629,307029919,"Webcheck - PE profile, is not working",User,DTAC/DSG Webcheck,1/24/2022 9:20,1/24/2022 16:38
1630,307029976,Remove Access to Customer General Motors,User,GTAC,1/24/2022 9:22,1/25/2022 10:29
1631,307032442,Request to add Cisco ASA  ANK02821FW01 ,User,INCM (Voyence),1/24/2022 11:56,6/22/2022 12:40
1632,307033038,"Getting message ""Notice: Undefined index: attuid"".",User,ACTION Integrated Look Up,1/24/2022 12:40,1/24/2022 12:54
1634,307034071,Vitalnet server rlpv10703.gcsc.att.com is DOWN ,User,VitalNet Problems or Errors,1/24/2022 13:58,1/26/2022 9:39
1635,307034848,Project Frontier GTAC user removal Wave 5,User,GTAC - Other,1/24/2022 14:35,1/25/2022 19:59
1636,307035963,All modules using MCAP are not pulling data for Webcheck; global problem for all orders,User,DTAC/DSG Webcheck,1/24/2022 15:20,2/1/2022 2:42
1637,307037046,WPP_LX VitalNet unreachable ,User,VitalNet Problems or Errors,1/24/2022 15:58,1/25/2022 14:11
1638,307037559,"unable to access  node managers with GTAC RSA password , please help, since very critical , customer migration scheduled ",User,"GTAC - Account issues, password change",1/24/2022 16:09,1/24/2022 18:32
1639,307039132,NCDURH4INCMIA01 account 'sshd_server' need password change,User,INCM (Voyence) - Other,1/24/2022 16:56,6/17/2022 12:38
1641,307041915,IBM Ameriprise Customer sponsor Id Need to Remove ,User,GTAC - Other,1/24/2022 18:19,2/1/2022 2:40
1642,307042995,ISE Motiva | incident - need GESS to join bridge please,User,Cisco ISE,1/24/2022 18:56,7/7/2022 19:53
1643,307043368,login fails while trying to access FortiAnalyzer-3000F application via WK Jumpservers ,User,"GTAC - Account issues, password change",1/24/2022 19:07,1/24/2022 20:09
1644,307046428,Trying to reach xxxxxxx:63208/teamdbgui to add new team members and I am getting an error in Firefox. ,User,Unified Desktop (UD),1/24/2022 20:43,1/24/2022 22:46
1645,307046786,Majority of the ADI/MIS Auto detect tickets generating against failed assets are sitting in US-IPCC-PSCNJ active org instead of moving out to GU-GCSC-MIS org few minutes post ticket creation as per the script. This is creating huge delay in ticket pickup ,User,SMARTS/GFP_CPE,1/24/2022 20:53,2/7/2022 23:33
1646,307047425,GTAC Issue,User,GTAC - Other,1/24/2022 21:13,2/3/2022 22:53
1647,307053503,Please deactivate/remove GTAC mechid: pymancz,User,"GTAC - Account issues, password change",1/25/2022 0:09,1/25/2022 0:29
1648,307054396,ATTN Mohan - Issue with opening files ,User,Global Delivery Data & Analytics,1/25/2022 0:59,1/25/2022 20:47
1649,307054499,ATTN Mohan - New Report for RouteIt,User,Global Delivery Data & Analytics,1/25/2022 1:03,1/27/2022 0:23
1651,307061332,Voyence tool is not login,User,Application Response Slow or Application Unreachable,1/25/2022 8:44,1/25/2022 9:46
1652,307061837,ISAE3402 audit EFS - GTAC actual audit reports - Due date today ,User,GTAC - Audit or GTAC report data,1/25/2022 9:18,1/27/2022 12:34
1655,307064205,Missing pull command,User,"Help Using Application (E.G. Config Pull/Update, IOS Upgrade, etc.)",1/25/2022 11:42,2/2/2022 8:24
1656,307064272,Recently created Ticket 235606 to reset customer user password but still credentials says Invalid user ID or password. ,User,"GTAC - Account issues, password change",1/25/2022 11:43,1/29/2022 1:03
1657,307066326,Test Name ASA_5.02 - Spoof attempts   -  Not Audited,User,INCM (Voyence),1/25/2022 14:17,6/22/2022 12:39
1658,307067685,ISE Altria | VPN Enrollment Policy Set Add,User,Cisco ISE - Other,1/25/2022 15:15,2/8/2022 21:59
1660,307068876,Need to do failover on 2 GPF-CPE OBM server pairs during HW changes on servers in iGEMS environment in Durham/Mesa.,User,SMARTS/GFP_CPE,1/25/2022 15:58,2/7/2022 17:09
1661,307068892,ISE AES | Please implement this change on 1/27 at 8am EST. the change will be approved. the MDS is attached. thank you ,User,CISCO ISE - Network Device Update/Add/Delete,1/25/2022 15:59,1/27/2022 16:31
1662,307069051,Replace contractual functionality for decommissioned poller,User,SMARTS/GFP_CPE,1/25/2022 16:03,1/26/2022 14:42
1663,307069490,Request to suppress the alert for Asset USIBJCPARTX06WAP29M,User,SMARTS/GFP_CPE,1/25/2022 16:18,1/31/2022 23:13
1664,307069664,Remove Customer ID's which no longer needed access,User,GTAC,1/25/2022 16:19,1/28/2022 20:03
1666,307070832,Devices not showing in Voyence,User,INCM (Voyence) - Other,1/25/2022 16:52,6/20/2022 16:02
1667,307072440,Domain Group Access Request: Autozone:  Co-Managed vEdge & cEdge Domain Request ,User,GTAC,1/25/2022 17:29,2/1/2022 12:42
1669,307075347,WFA OOR (Out of region tickets not pulling up) * WFAT tkts that start with YX * WFA region IMSC65 ,User,Unified Desktop (UD),1/25/2022 19:01,1/31/2022 16:34
1671,307078052,No tkt cut USSTEGELKIL01R ,User,SMARTS/GFP_CPE,1/25/2022 20:35,1/25/2022 22:07
1672,307078723,No proactive ticket generated for warner media device: TWWAMETAITW01R0001,User,SMARTS/GFP_CPE,1/25/2022 21:04,2/9/2022 12:01
1673,307080033,ISE Amgen | Wired connections not working after ISE issue last week USO 13,User,Cisco ISE,1/25/2022 21:48,2/16/2022 14:24
1674,307081859,Requesting additional feeds to Data tabs for IPFlex HALO reporting,User,Global Delivery Data & Analytics,1/25/2022 23:04,8/19/2022 20:03
1675,307081781,no tkt cut for  Te0/2/0       xxxxxxx   device  USSTEGELKIL01R  ,User,SMARTS/GFP_CPE,1/25/2022 23:05,2/1/2022 0:17
1676,307084227,Change attribute-value pair service tag for MSS_GSG_NFOTT,User,GTAC - Other,1/26/2022 1:01,2/22/2022 20:26
1677,307084302,Change attribute-value pair service tags for MSS_GSG_MEMO,User,GTAC - Other,1/26/2022 1:06,2/22/2022 20:24
1678,307093386,GTAC reports required due to loss of access as part of transition to systal,User,GTAC - Audit or GTAC report data,1/26/2022 9:48,1/31/2022 3:58
1679,307094743,ISE IBM IGA EMEA | device updates,User,CISCO ISE - Network Device Update/Add/Delete,1/26/2022 10:59,2/1/2022 2:40
1680,307095675,ISE Amgen | usas11dc-ise2-app is in error state,User,Cisco ISE,1/26/2022 11:51,2/1/2022 11:11
1681,307096581,Shahid Gilani/ sg431w  will use standard 2-factor authentication,User,GTAC,1/26/2022 13:01,1/26/2022 16:02
1682,307096751,Please create read only GTAC MRS & MSS access to USDA routers & firewalls for Eun Hwang.,User,GTAC,1/26/2022 13:12,1/26/2022 13:41
1683,307098988,ISE Amgen | USAS11DC-ISE2-APP APPLIANCE ALERT,User,Cisco ISE,1/26/2022 14:59,2/1/2022 11:11
1684,307099117,"Hi Team, Need information about the ticket number - 3046447465, The mentioned ticket was stuck in the UTM work queue for more then 8 hours and was not assigned automatically to any end user. Please check in case any bug/lag as it hampered the customer ove",User,Unified Task Management System (UTMS),1/26/2022 15:02,1/26/2022 16:38
1685,307099716,Please check who logged into a device ,User,GTAC - Logs and GTLV Viewer,1/26/2022 15:23,1/27/2022 14:15
1686,307100100,WFA tickets will not launch in UD.  Error message: The address wasn't understood,User,Unified Desktop (UD),1/26/2022 15:37,2/7/2022 0:23
1687,307101232,We will need a work order for GESS team to complete upgrades on Lilly Gateway Labs (LGL) DNAC and ISE servers.,User,Cisco ISE - Other,1/26/2022 16:09,4/1/2022 19:44
1689,307106256,AVPN-RTP can't search by ISR ,User,Integrated Experience Platform (IXP),1/26/2022 18:21,3/20/2022 13:06
1690,307107745,Database read access for Cyber DB,User,"Customer Advocacy, SI&NS and Cybersecurity Data & Analytics",1/26/2022 18:59,1/27/2022 16:31
1691,307108249,Do these UIDs have access to network elements through GTAC?,User,GTAC,1/26/2022 19:17,1/28/2022 2:43
1693,307111289,Not able to login to device ,User,GTAC - Other,1/26/2022 20:57,1/27/2022 14:13
