Ticket,Problem_Abstract,,
308318607,TORONTO RAPTORSvsDENVER NUGGETS 3/12/22 1700 - 3/13/22 1AM,,
308319007,NASCAR ATL MOTOR SPEEDWAY 3/16/22 8AM - 3/22/22 2AM,,
308220394,**SO FI STDM/23 TRK CARD,,
308309235,"Please be aware I require access to the CA/CM tool to pull HC reports, as I am supporting ATT managed accounts.",,
308344994,"Please remove keho_wmg  from the ""MSS_WarnerMedia_RADIUS"" domain

",,
308348033,First Mile Check SEG Basketball V220200616 Utah Jazz @ San Antomio Spurs,,
308346720,ATLN03P-2 / NYBW03P-2 DOWN,,
308288848,Netbrain access,,
308346823,"Need log files and command output for tshooting production issue with 5171

",,
308339991,"Manual Remove from Power BI.    Attn: BUSICK, RUSS ; HANSEN, JASON R ",,
308351464,Turner Ent. Pegad CBS V220200257 NCAA MARCH MADNESS DAYTON,,
308350664,"GCSC GTAC password change throwing script errors

",,
307910178,Amway Center Data 1,,
308352933,"Need output of another Command for Ciena issue with 100G service

",,
308348274,GREENSBORO COLISEUM CONFIDENCE LOOPS,,
308173266,Need access to Power BI Report Server to publish and share reports using on premise databases,,
307488512,Missing tickets in the MIS table,,
308352131,"GTAC Domain Approval

",,
308242455,"Unable to generate CA/CM report 

",,
308366983,Diamond #76771 LOR rr secondary,,
308366985,Diamond #76814 LOR rr secondary,,
308366987,DAILY ORDER T/U  - 7 -,,
308366989,BLMO ALRMS - TOUR'S START,,
308366991,BLMO ALRMS - TOUR'S END,,
308366566,"ATT Reference	P220300011",,
308206009,"Request to change serial number of device

",,
308214289,"Receipt Assets into GPS to close

",,
308220706,"not able to login

",,
307902111,"updateAsset api issues

",,
308225486,"Asset Records updates on spread sheet 03/07/2022

",,
308163023,"Please cancel OL 7954486

",,
308379310,DAILY ORDER T/U - 7 -,,
308379311,BLMO ALRMS - TOUR'S START DVC INT,,
308379312,BLMO ALRMS - TOUR'S END   DVC INT,,
308234486,"I'm facing issue in uploading a macro enabled excel file(xlsm) in the SR docs. Error screenshot attached. Tried to uploading the file by drag and drop to the upload picture above ""Select file to upload"", not working as well

",,
308247584,"Unable to login to GPS, entering correct pwd, however not working

",,
308242079,"Need access to GPS

",,
308245049,"inbox issue in GPS mh960

",,
308254063,"Reopen SR 

",,
308256555,"Need GTM Asset File pulled and provided to user via tSpace

",,
308247126,"Need to clear out aged WFM_Tasks in Inbox

",,
308392404,DAILY T/U -11-,,
308392405,BLMO ALRMS - TOUR'S START DVC INT,,
308392407,BLMO ALRMS - TOUR'S END,,
307512022,Is ntp with authentication supported when using pollers as NTP servers?,,
308034283,"Please help GTAC Failed Attempt logs for below GTAC Domains for last 90 days
GSSI
OneNet
IBM Japan ONI
IBM Japan SNI

",,
308062502,Unable to create a ticket or load an existing ticket in UD,,
308090112,No proactive ticket was received for MCI-MLM_R1 on Feb 20,,
308160663,Tickets Missing In Open Ticket Cube,,
308119790,"Need to schedule a recovery from DR failover

",,
308220670,"I am not able to search by IP Address and need this fixed

",,
308305404,"Wed Mar 09, 13:36:10 Link dead FRFAURCALFR01PVCE01_EHA Alert Link GE4 is now DEAD : but no proactive alert

",,
308398114,"We need the Domain grant audit report & access revocation report for compliance activities. 
Customer: Bank of Ireland
Domain name: BOI_Skybox and BOI


",,
308399308,"remove domains/close down my customer GTAC id

",,
307621603,PCI =  22337...Feb 26 2022  9:00AM (CT) - Feb 26 2022  5:00PM (CT),,
307801024,PCI =  13891...Feb 25 2022  3:30AM (ET) - Feb 25 2022  6:00AM (ET),,
308309240,Requesting Alarm Suppression for State Farm Insurance starting at 7pm on Friday (3/11)and ending at 6am on Monday (3/14),,
308338224,Delete the following ID's which are no longer needed as they no longer have a requirement for a ID. ,,
308347389,ATLN4-1 / CHRL1-3 DOWN,,
308399628,We will need to failover rlpv11979 to its DR in San Diego - rlpv12002. Change start at 7:00 AM CT.,,
308346436,ATLNGAMDX03P_32C P135/S7 100GbE CHRLNCMDX03P_32C P129/S1 L6YX861729,,
308401450,"Call from John PSSI 615-289-4319 Five Star Arena, Jacksonville Turn up Shelf",,
308277107,"UTM not assigned this ticket to AGENTS.

",,
308346087,ATLN01S-4 / NYBW02S-4 DOWN,,
308401455,"Call from Ron 317-966-4487 Gainbridge Fieldhouse, INDY test & verify Video & Data",,
308349436,ATLN03P-1 / NYBW03P-1 DOWN,,
308349077,ATLN03P-2 / NYBW03P-2 DOWN,,
308347827,ATLN03S-9 / WASH03S-2 DOWN,,
308297249,NAGIOS: Change of server monitoring,,
308323497,DLLST03S-6 / KSCY03S-3 DOWN,,
308397074,Removal of monitoring of a service from Nagios for the NEXTGEMS app ?,,
308402614,"Domain password rules report.
Customer: Bank of Ireland 
Domain: BOI and BOI Skybox

",,
308272452,"Unable to create any assets in GPS

",,
308401775,Sebring Alpha Truck  turned up,,
308272869,"Error message while opening File - Open - Admin - Contact

",,
308274137,"GPS error - Fetching of Warehouse List Failed 

",,
308275445,"GPS tool slow in response

",,
308277871,"Fetching of Warehouse List Failed - this error pops up when I try to open NPN also I am not able to fill GRC, SOC, MCN and bill class. Example of NPN: USVIRCINDIN01PVCE01

",,
308402052,"change the services being monitored on rlpv11979 & llpv10022 ?

",,
308277141,"getting error message when trying to bring up asset name

",,
307656098,Voyence - Add France Telecom Spain ,,
308388215,Webcheck does not load orders,,
307034004,Voyence - Add/Delete France Telecom Spain device,,
308340658,Vystar Veterans Memorial Arena Tag and Locate,,
308408646,L6YX781610,,
308402115,"I need evidence that AAA server is logging user access. (Successful and Unsuccessful)

",,
308404796,"NetBrain EMEA server not responding for BOI account

",,
308233235,"Trying to add Domain Group access request for ITO CNXS_DATACTR Unlimited_Config .  Unable to do it from GTAC application  as it comes back with Duplication error

",,
308279962,"Please reopen SR 7971259; I need to Fill the T&M used where SL1 is the GPS Service Line (GPS SR Number-7971259 corresponding to the SR Line need to correct 

",,
308402795,"GTAC -  Evidence that AAA server configuration (e.g. Cisco ACS) Minimum password life time is minimum 1 day or more.

",,
308411800,DTV 4K SDR USA Ntwk EPL Arsenal vs Liverpool,,
308371764,SEC Miss State Slot 11 down. BFEC536056,,
308355753,NASCAR V220300124,,
308347347,FEEDS DOWN V200200363 & V220200371,,
308413396,BFEC 532520,,
308341098,GAINBRIDGE FIELDHOUSE -TECH DISPATCH TO TEST VIDEO AND DATA,,
308337818,TEST TICKET,,
308297345,Utah Jazz,,
308295141,**V220200456..GAME# 65,,
308402710,GREENSBORO COLISEUM CONFIDENCE LOOPS,,
308258763,no visibility to Homestead 3020-1/2...WFA - 230801736 and 230801832,,
308289533,"The ordered parts were reached site and while changing the part to installed status getting error like this asset has not been receipted, it must be receipted in order for the status to be installed.

",,
308370711,ASI MUX WWE APRIL/MAY 5/20/22 1700 - 2200 X30,,
308370709,ASI MUX WWE APRL/MAY 5/13/22 1700 - 2230 X30,,
308370707,ASI MUX WWE APRIL/MAY 4/22/22 1700 - 2200 x30,,
308370703,ASI MUX WWE APRIL & MAY - 4//15/22 1700 - 2200 X30,,
308370701,PANTHERS @ DUCKS 3/18/22 1400 - 3/19/22 0400,,
308340667,**UNIVER.OF DAYTON ARENA<WFA/LEC# HR007738>TEMPR.FAN ALRM,,
308226913,**IPTV - WVEN,,
308232365,"Please cancel OL 7964642   . SR 7659890 

",,
308245881,"Task stuck  Process Purchase Requisition-  2 SRs

",,
308259817,"AT&T Solutions SR 7671591 OL 7977309, please cancel OL 

",,
308423404,DAILY ORDER T/U - 5 -,,
307641740,SMARTS log is not corrected on rlpv12645 dms server,,
308423424,ESPN V220300321 NEW,,
308423889,ESPN V220300322 NEW,,
307837436,No alarm received from stack switch member down,,
308047192,No auto ticketing when routers went down,,
308245570,ISE IBM IGA | Need to change the radius server mapping for Wireless LAN Controller,,
308424103,"Not able to access through console

",,
308392696,AUIBIYCHEAU01S01 - Unable view Utilization report for Number of Interfaces,,
308426407,ESPN V220300323  NEW,,
308425633,"Authentication issue at Amgen RUMO office.. Moscow, Russia.

",,
308426803,DirecTV V220300324  NEW,,
308427384,DirecTV V220300325  NEW,,
308426804,DirecTV V220300326  NEW,,
308427387,DirecTV V220300327  NEW,,
308426808,DIAMOND # 76872  SPOF,,
308428234,DIAMOND # 82843  SPOF,,
308428061,"My GTAC account is locked. Please unlock it as I have a change to implement currently

",,
308339169,"Integrated Ticket History (ITH) not reflecting  previous work Q fields in milestone 

",,
308426608,Could you please monitor a service via Nagios ?,,
308339185,"Eli Lilly - Event Severity Update - WAP disassociated

",,
308389062,V220300226 #84325 - customer wish to turn up early,,
308403738,DOME PEGAD LAFCvsVAN 3/20/22 2045 - 3/21/22 0145,,
308412630,BALLY SPORT MW/ST BLUES 3/22/22 12NOON - 3/23/22 0000,,
308412633,PEGAD AUSTIN FC vs SOUNDERS 3/20/22 1530 - 1930,,
308410013,BFEC543146 BMP TT  BMP  # 231401629,,
308305906,"Hello Team,
I got error from staging team saying that Account type on order list needs to be changed.
Could you please change the ""Account Type"" on order list from IBM Blue Internal to IBM BLUE SKY?
SR# 7910568 OL# 7960899, GPS account: IBM IGA (Blue Sky)",,
308293387,"Updated the status OL

",,
308177428,"USAJMSSNHB4R01 BGP down 24hrs, no auto ticket generated",,
308294090,"Asset Records updates on spread sheet 03/09/2022

",,
308306882,"SR# 7936578, 7801567, 7750972
 T&M needs to be corrected. Request to enable T&M

",,
308312146,"Validate CLLI task stuck - new CLLI has been added SYDNAUWON00 - - error (stacked in WFM with DD 10.2.2022)

",,
308434629,"customer dont have GAMS Account 

",,
307898766,"Need to have trap suppressed. 

",,
308438043,HOUSE KEEPING- DISPOSING OF ACCUMULATED OLD PAPERWORK IN TOC,,
308436840,"Create nologins allowed commands for mechid m77446 on DMS system rlpv11452


",,
308258409,"Please remove db763a	DANIEL	BERTINO from the ""MSS_WarnerMedia_RADIUS"" domain

",,
307742024,KSCY03S-4 / SNFC03S-1 DOWN  l6yx970415,,
308341099,PEGAD - MNUFC TRANSMISSION@ALLIANZ FIELD 3/13/22 1745 - 2245,,
308438103,"Question about USAF ticket 308408924 and the ""NOTMANAGED"" keyword

",,
308085181,**CAJUN DOME CK27 PERM/11 - HSTN01P/6<WMS# 230100171>WAITNG FOR PACK..BFEC521795,,
308378118,Encompass V220300014,,
308378137,LTN  V220300203,,
308431523," NextGEMS Login is no longer used to authenticate for iGEMS-NG.  -- Please remove all the  references and users as well GTAC domain.

",,
308392127,NASCAR Phoenix  V200201353,,
308414833,PSSI V220200237,,
308212465,**FOOTPRINT CTR/22<COX# HD26241654>COX COMM: 844-587-7844,,
308441808,BFEC565537,,
308434606,Turner V220300133,,
308388594,MINN UNITED DIRTY FEED V220300139,,
308169170,?*MOHEGAN SUN PA DOWN.. BOTH 10G REPORTED BY RCN,,
308445439,V210900006 SEC MISSOURI  F/T Internet,,
306519488,ISE WK | Thrown out of ISE when Exporting,,
308439654,Create New Domain Group for MLAN ISE support ,,
308420614,"you need assistance in flushing OVO instance queues.    AOTS ticketing is delayed:  0  hr  33  min  FM6  alpovo23

",,
308449189,BLMO ALRMS - TOUR'S START,,
308449190,BLMO ALRMS - TOUR'S END,,
308449188,DAILY ORDER T/U  - 2 -,,
308303215,"Please investigate as why there was no proactive ticket generated for velo asset NFII-BUR274-VC01 for NFI Industries Customer. Edge went down at Thu Mar 10, 04:23:00 IST.",,
308449192,DIRECTV #84459 CANCELLED BLMO record,,
308449193,DIRECTV #84460 CANCELLED BLMO record,,
308453385,DIAMOND #84628 NEW/SPOFer,,
308397689,Failover rlpv12922 to rlpv12938 starting at 09:00 AM ET on 3/14/2022 due to migration of FW in San Diego to new FW in Durham.Failover rlpv12923 to rlpv12939 starting at 09:00 AM ET on 3/14/2022 due to migration of FW in San Diego to new FW in Durham.Fai,,
308073296,"FRFAURACTFR04PVCE01_EHA - AT&T AVPN - 100 - IUYF.103171..ATI (GE3) down but no proactive alert

",,
308454283,Update my email address,,
308454105,"Users to be removed from Domain

",,
308457225,CBS #84449 added secondary path,,
308222518,PCI =  22297...Mar 15 2022  8:00PM (PT) - Mar 16 2022  6:00AM (PT),,
308457227,CBS #84452 added secondary path,,
308457232,CBS #84454 added secondary path,,
307265964,REMOVE devices: BOUA51001 and BOUA51018 from monitoring and pollers.,,
308437124,"Emaint ticketing shows two AVPN connections on single circuit repeated 5 times

",,
308458650,Call from Mike/Fairhaven 470-848-1064 RE: Repl. 10Gb data card at Green Bay pop,,
307714142,Is necessary to add new device for asisa ,,
308409264,"Kyndryl ISE Devices Add

",,
308404087,"Kyndryl ISE Devices Add

",,
308398830,"GTAC  Reports required for QEV

",,
308321604,"Amgen ISE servers seem to be failing to communicate to NTP

",,
308352285,"When trying to input router MACD changes MACD is no longer listed as an option and tickets are left in closed but still existing on devices

",,
308458364,"Not able to login Kyndryl_DDI_Infoblox

",,
308441511,"gtac audit/report data for onenetwork

",,
308175820,"Defect in SWBAPPS.SNOW_HARDWARE_TRACK_V 

",,
307517315,"ownership type 3rd party financing BULK order

",,
307806888,"New York Life Insurance continues to generate ticket alerts on the listed devices.

",,
306966582,New data fields for Simone,,
308236440,"Hello Team can you please check and advise what is the current polling interval for this switch as that may need to be increased as per Cisco TAC:-xxxxxxx      USDXCACAMNJ02S0003-01   W6807sw1 # CAMDEN, NEW JERSEY, United States of AmericaPoller : r",,
308454083,unable to login to the ACAT - action connection assist tool,,
307652979,PCI =  22406...Feb 23 2022 11:59PM (ET) - Feb 24 2022  6:00AM (ET),,
308291028,"Unable to get tickets assigned from UTM. Getting error "" No Tickets Available "".",,
308460751,"Need the assets to be removed from Fluor's ISE

",,
308336729,"OL with Ship To: automated staging center and procurement clicks Transmit OL/Create Assets button, system shall send a stop alert if Warehouse Location field is blank and not create assets until field is populated

",,
308440310,BFEC 504491    BMP TT 231402121/NEW 231501817,,
308323609,"Issue with closing task - Enter Billing Class

",,
308471339,Change dest. on 10 Ktraken orders to Encompass 2 Slot 20 Port 3 (ATT RX-3)),,
308337099,"Task Stuck - Process Purchase Requisition 3x SR

",,
308339467,"Change OL status

",,
308335231,"Please open SR 7977627, closed by mistake

",,
308434245,"Can't access jump box using Putty (xxxxxxx) 

",,
308407694,"m68458 getting Direct network login to this account is disallowed on rlpv12928.gcsc.att.com. 

",,
308408121,"To Support AOTS TM UAT testing for Flexware

",,
308474744,CBS V220200350,,
308337379,"UAT and PROD GPS access for mech ID m03088

",,
308353149,"Asset Records updates on spread sheet 03/11/2022

",,
308301432,"Below SDWAN devices went down but no Auto Alert Ticket generated, need investigation asap.Assets:apcn-e9e-4331-e1samus-fh8-4451-e1s",,
308475437,V220200490 SAN DIEGO ATT DATA,,
308478434,ESPN #47723 DELETE BRISTOL LEG(S),,
308481393,DAILY ORDER T/U - 2 -,,
308481290,"unable to log into the ACAT (action connection assist tool)

",,
307558209,Voyence shows non-compliance,,
308483444,ATTSN V220300455 NEW,,
308483446,ATTSN V220300457 NEW,,
308483952,ATTSN V220300458 NEW,,
308483947,ATTSN V220300454 NEW,,
308483949,ATTSN V220300456 NEW  DVC INT,,
308483443,ATTSN V220300451 NEW DVC INT,,
308483946,ATTSN V220300450 NEW DVC INT,,
308483442,ATTSN V220300449 NEW DVC INT,,
308483439,ATTSN V220300445 NEW,,
308483441,ATTSN V220300448 NEW DVC INT,,
308483940,ATTSN V220300447 NEW,,
308483937,ATTSN V220300446 NEW,,
308258099,13925  MAR17TH 4 AM-6AM ET,,
308311360,PCI =  13932...Mar 16 2022  1:00AM (ET) - Mar 16 2022  3:00AM (ET),,
308461343,Atlanta Motor SW Lec tkt #  AV000471  and AV 000472 -,,
308459190,PIRATES @ ST CARDINALS 4/922 8AM - 4/11/22 5AM,,
308459204,PIRATES AT ST LOUIS CARDINALS 4/9/22 8AM - 4/11/22 5AM,,
308458286,PIRATES @ ST CARDINALS 4/7/22 8AM - 4/8/22 5AM,,
308458291,PIRATES @ ST CARDINALS 4/7/22 8AM - 4/8/22 5AM,,
308467087,PIRATES AT MILWAUKEE BREWERS 4/18/22 8AM - 4/20/22 5AM,,
308467092,PIRATES AT MILWAUKEE BREWERS 4/18/22 8AM - 4/20/22 5AM,,
308467100,PIRATES @ CHICAGO CUBS 4/21/22 8AM - 4/25/22 5AM,,
308467735,PIRATES AT CHICAGO CUBS 4/21/22 8AM - 4/25/22 5AM,,
308468944,V220300129 # 84141,,
308469717,V220300223 - 84316,,
308485273,Confirmation V220100337 - NBC'S AMERICAN SONG CONTEST,,
308487893,Bon Secours Wellness Arena,,
308487904,1st Mile Moda Center V220200349 Portland ATT fiber,,
308487910,1st mile V220200415 & V220200416 Fort Worth ATT Fiber,,
308488614,hitless redundancy on two GVS circuits,,
308487735,"Unable to access IBM Ameriprise Vitalnet 

",,
308318021,Altria GTAC 90 days logs ,,
308294291,Kindly investigate on the issue as the device went down and proactive ticket was not triggered.,,
308435161,"DTV disentanglement - Identify if DTV users have access

",,
308459628,"ISE WK | Create ISE License Report

",,
308492588,"Login attempts to several Kyndryl infrastructure devices fail

",,
308282925,"NEC SpectralWave 64 transport DWDM is now requiring GTAC verification, but it never has in the past. We need to understand how to request access to the correct GTAC DOMAIN.",,
308486604,Coreworx - RSA authentication login report,,
308402541,Create a new user account for Outokumpu customer,,
308120643,**LSAN01AP/3 - WASH01AP/2<WMS# 230209731>BFEC565568,,
308336524,ATT U-VER # 11676 RX BUFFER PROJ-TCWD 2/17/22,,
308228876,**SNFC03(P) 32C P149/S21 - SNFC01(P)/49<WMS# 230706382>ERRS,,
307906125,?*LA1/11 PRI<WMS# 222806924>NO RCV LIGHT,,
308348267,BON SECOURS CONFIDENCE LOOPS,,
308470268,"GTAC active user list request

",,
308137173,"GTAC Account Validation - Sysco Foods

",,
308313039,"Please remove ""twturmn-kturner"" and ""kapa_wmg"" from the ""MSS_WarnerMedia_RADIUS"" domain

",,
308305636,UD not working,,
307428332,"Account keeps getting locked.

",,
308501263,"Request to delete CNXS_ICS_FIREWALL

",,
308312012,"GTAC ID removal


",,
308452733,need request  ID:2366146,,
308424545,Error changing password,,
308507863,"Ticket flooding 


",,
308479054,"Not able to use the Mech ID 

",,
308384677,"ISE Kyndryl | KSEP - Gz4- Coulumbia - Add new Kyndryl WLC to Kyndryl Radius Server (Kyndryl Cisco ISE Server).

",,
308344861,"Eli Lilly - Ticket Creation Lag - 2/18 event

",,
308501509,Please create read only GTAC MRS & MSS access to USDA routers & firewalls for  Benjamin Herbert,,
307647843,"NO Proactive alert was generated for SDWAN Sephora device when the HA was down.

",,
308520127,V220300072,,
308520129,V220300073 /,,
308520133,Reference V220300074,,
308520134,Reference V220300075,,
308520136,Reference V220300076,,
308520139,Reference V220300077,,
308520143,Reference V220300078,,
308520965,Reference V220300079,,
308488164,BALLY SPORTS DETROIT 3/17/22 11AM - 2300,,
308457072,Too many devices unreachable,,
308488166,PIRATES @ DETROIT TIGERS 5/3/22 8AM - 5/5/22 5AM,,
308486544,BALLY SPORTS DETROIT 3/19/22 12NOON - 3/20/22 0000,,
308494423,TURNER 3/21/22 1200 - 1530 X30,,
308520986,Reference V211000383 & V211000386,,
308494430,CBS PEGAD VIA V220200269 #84036 3/18/22 1700 - 3/19/22 0100,,
308498969,MLB ROCKIES@LOS ANGELES DODGERS 9/30/22 8AM - 10/6/22 5AM,,
308498963,MLB ROCKIES@LOS ANGELES DODGERS 9/30.22 8AM - 10/6/22 5AM,,
308520515,"My Mech Id not working, Please help

",,
308522100,Need SSL Cert for SIG SIG06843,,
308310744,NHRA Truck Gainesville  lost visibility ,,
308524401,ATTSNNW V210901147 Change Source to Dome ATT-ETH-1,,
308524400,ATTSNNW V210901177 Chng. Source to Dome ATT-ETH-1,,
308524403,ATTSNRM V211000418 Change Source to Dome ATT-ETH-1,,
308356708,"ISE Kyndryl | Hi Radius Support team, we are migrating the IBM site HA6 to Kyndryl, and as such, we need to have the Wireless Controller added to the appropriate Radius Servers. Find more details below:",,
308470254,Change to Ring Tracking Data in the SNOW_DROP database (Alex Pierce),,
308522214,Need SSL Cert for New SIG SIG06844,,
308527705,ESPN CBB: NIT: Oregon vs Texas A&M PEGAD TEX_TX_01,,
308519809,Tool ID Request does not work for m06711,,
308526727,"I need the log file for today for the following IP on Altria xxxxxxx

",,
308361226,"Loss of Access

",,
308543704,We cant close ticket,,
308543581,ticket closing issue,,
308541841,Change Confirmation V211000391 - NHL:  VEGAS GOLDEN KNIGHTS @WINNEPEG JETS,,
308541843,Reference V220300291,,
308544244,Reference V220300293,,
308544247,Reference V220300294,,
308544250,Reference V220300296,,
308544253,Reference V220300297,,
308544255,Reference V220300302,,
308542707,BFEC 565369,,
308544256,Reference V220300364,,
308544258,Reference V220300400,,
308544257,Reference V220300366,,
308544262,Reference V220300401,,
308544264,Reference V220300404,,
308545132,Reference V220300405,,
308545137,Reference V220300406,,
308545138,Reference V220300407,,
308375744,"Unable to close ""Engage Change Control Manager"" task in GPS.

",,
308545139,Reference V220300409,,
308545141,Reference V220300468,,
308545142,Reference V220300469,,
308545144,Reference V220300471,,
308545149,Reference V220300474,,
308545150,Reference V220300475,,
308545153,Reference V220300476,,
308545155,Reference V220300478,,
308545928,Reference V220300479,,
308545933,Reference V220300481,,
308545930,Reference V220300480,,
308545936,Reference V220300482,,
308545939,Reference V220300484,,
308545940,Reference V220300485,,
308545943,Reference V220300486,,
308545944,Reference V220300487,,
308546649,Reference V220300488,,
308394960,"Need to re-open SR Line: 7979229-1 for correction. Kindly assist asap.

",,
308399629,"Access to AT&T Solutions, DXC-ES inboxes in GPS

",,
308546796,Espn Ncaa Women's Basketball Championship Miami vs S.Carolina Pegad SC_TX01,,
308517839,BALLY SPORTS AZ - COYOTES@JETS 3/27/22 1500 - 3/28/22 0100,,
308399740,"Please add DXC-ES inbox in GPS

",,
308547676,Reference V220300488,,
308399768,"closed ticket with wrong closure code. need reoponed to close it correctly

",,
308291833,No proactive ticket,,
308553847,Portland Timbers vs FC Dallas,,
308397611,"Need ticket on US292LORLFL0101UVHN01

",,
308145702,"There was no ticket created for device USVCCUCAMCA01H 

",,
308309637,The circuit was out of service for almost 2 years - what circuit monitoring is in place to detect outages and generate trouble tickets ?,,
307106256,"AVPN-RTP can't search by ISR

",,
308307518,"Device Delete Request

",,
308558275,Reference V220300490,,
308558277,Reference V220300491,,
308558279,Reference V220300492,,
308558280,Reference V220300493,,
308558283,Reference V220300494,,
308559868,Reference V220300495,,
308559869,Reference V220300496,,
308559870,Reference V220300497,,
308559875,Reference V220300499,,
308559876,Reference V220300501,,
308559877,Reference V220300502,,
308559879,Reference V220300506,,
308559880,Reference V220300507,,
308559882,Reference V220300508,,
308559883,Reference V220300509,,
308559884,Reference V220300510,,
308559885,Reference V220300534,,
308560325,First mile Check Portland trail Blazer V220300140 Game # 70 Gainbridge Fieldhouse,,
308398884,"not able to transmit and create asset 

",,
308559872,Reference V220300498,,
308559890,Reference V220300535,,
308559891,Reference V220300531,,
308560782,Reference V220300532,,
308560783,Reference V220300548,,
308560785,Reference V220300549,,
308409301,"DANONE SR 7870115 WFM ID  78850935 Process Purchase Requisition- 7873081.  OL to be cancelled: 7873081

",,
308560786,SEC GEORGIA FT Internet  V210900010,,
308561062,"GTAC ID Terminated

",,
308354843,AT&T SportsNet NW  Patch Panel,,
308476787,V220200256 Dayton ATT Data,,
308517838,COYOTES@FLAMES BALLY SPORTS AZ 3/25/22 1500 - 3/26/22 0300,,
308495935,Amway Center Data 1  LEC Ticket GJ000416,,
308519644,PIRATES@ DETROIT TIGERS 5/3/22 8AM - 5/5/22 5AM,,
308519652,PIRATES @ CINCINNATI REDS 5/6/22 8AM - 5/9/22 5AM,,
308519649,PIRATES@CINCINNATI REDS 5/6/22 8AM - 5/9/22 5AM,,
308519654,PIRATES AT CHICAGO CUBS 5/16/22 8AM - 5/19/22 5AM,,
308544801,PIRATES AT CHICAGO CUB 5/16/22 8AM - 5/19/22 5AM,,
308544802,PIRATES AT SAN DIEGO PADRES 5/27/22 8AM - 5/20/22 5AM,,
308416575,"Asset Records updates on spread sheet 03/14/2022

",,
308425363,"PR404573: Caliso / US - 7934049 / OUTSOURCING

",,
308548866,PIRATES AT NEW YORK YANKEES 9/20/22 8AM - 9/22/22 5AM,,
308548864,PIRATES AT NEW YORK YANKEES 9/20/22 8AM - 9/22/22 5M,,
308548861,PIRATES AT NEW YORK METS 9/15/22 8AM - 9/19/22 5AM,,
308548855,PIRATES AT NEW YORK METS,,
308548371,PIRATES AT CINCINNATI REDS 9/12/22 8AM - 9/15/22 5AM,,
308429550,"Reopen the SR 7238493 and SR 7238492

",,
308548366,PIRATES AT MILWAUKEE BREWERS 8/29/22 8AM - 9/1/22 5AM,,
308548365,PIRATES AT MILWAUKEE BREWERS 8/29/22 8AM - 9/1/22 5AM,,
308548363,PIRATES AT PHILA PHILLIES 8/26/22 8AM - 8/29/22 5AM,,
308436780,"Please cancel OL 7968204  / SR - 7968203 /  in GPS

",,
308436847,"Cancellation request 

",,
308547838,PIRATES AT CHICAGO CUBS 7/25/22 8AM - 7/27/22 5AM,,
308544804,PIRATES AT SAN DIEGO PADRES 5/27/22 8AM - 5/30/22 5AM,,
308547828,PIRATES AT COLORADO ROCKIES 7/15/22 8AM - 7/18/22 5AM,,
308565498,V220300248ATX vs SEA,,
308299959,"User unable to access certain routers.

",,
308566158,Removing feeds for Atlanta Motor Speedway,,
308522356,Ticket triggered for asset but didn't reach to Owning Team: AP Virtual Tier 2,,
308223393,PCI =   22360...Mar 19 2022  9:00AM (ET) Mar 19 2022  6:00PM (ET),,
307548931,"Need to investigate as why tickets are being triggered for edge assets  & NFII-US-PA-0086-VC01 when they are in ""planned"" state in Action V3/GPS.",,
308485476,PCI 13943 MAR21ST 4AM-6AM ET,,
308398203,PCI22379 MAR22ND 11PM-MAR 23RD 6 AM ET,,
308574393,BFEC 578216,,
308574395,BFEC607233,,
308574402,BFEC 581909,,
308576253,BFEC 532520,,
308444355,"Asset Records updates on spread sheet 03/15/2022

",,
308502588,"NFII-US-SC-0002-VC01, Ticket was not triggered/created by Automation (TBC)",,
308577923,BFEC 576562,,
308456157,"Cancel OL

",,
308575501,Reboot ITONS SAM rlpv12000 - primary and DR ticketing,,
308521359,DARLINGTON RACEWAY TEST,,
308527983,ENCOMPASS TV/TEST 3/18/22 1600-1700,,
308527987,TURNER/OSCAR REHEARSAL 3/26/22 1200 - 1710,,
308443583,New User Needed,,
308544807,PIRATES AT LOS ANGELES DODGERS 5/30/22 8AM - 6/2/22 5AM,,
308544809,PIRATES AT LOS ANGELES DODGERS 5/30/22 8AM - 6/2/22 5AM,,
308544810,PIRATES AT ATLANTA BRAVES 6/922 8AM - 6/13/22 5AM,,
308546009,PIRATES AT ATLANTA BRAVES 6/9/22 8AM  6/13/22 5AM,,
308546011,PIRATES AT ST LOUIS CARDINALS 6/13/22 8AM - 6/15/22 5AM,,
308582263,ESPN NBA: PHLA 76ers @ LA LAKERS 3 -TRANSMITS CRYPTO.COM ARENA,,
308546015,PIRATES AT ST LOUIS CARDINALS 6/13/22 8AM - 6/16/22 5AM,,
308517840,BALLY SPORT AZ COYOTESAT OILERS 3/28/22 1430 - 3/29/22 330,,
308520639,CBS PEGAD V220200416 VIA RX CBSLA 702679,,
308523955,KSCY Slot 11 PACKET LOSS WMS 231804750,,
308302999,Please add new customer SNMP server IP address ,,
308310677,"Update OBM filters for ERSC, for servers of the DuPont customer",,
308547149,PIRATES AT TAMPA BAY RAYS 6/24/22 8AM 6/27/22 5AM,,
308546018,PIRATES AT TAMPA BAY RAYS 624/22 8AM  - 6/27/22 5AM,,
308547152,PIRATES AT WASHINGTON NATIONALS 6/27/22 8AM - 6/30/22 5AM,,
308547155,PIRATES AT WASHINGTON NATIONALS 6/27/22 8AM - 6/30/22 5AM,,
308547156,PIRATES AT MILWAUKEE BREWERS,,
